,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11791,2019-10-01 05:56:33 UTC,view,5853323,1.48758E+18,,,28.17,542728317,39ba3494-96ea-4550-8e77-11eedf9d4935
11792,2019-10-01 05:56:33 UTC,view,5804820,1.48758E+18,,,63.33,550807271,57e0b45a-f311-44f8-973f-e713e21c545d
11793,2019-10-01 05:56:33 UTC,cart,5875318,1.48758E+18,,,0.92,466012293,4916e61c-6b57-46a5-b743-6c7203b29644
11794,2019-10-01 05:56:34 UTC,cart,5773610,1.48758E+18,,irisk,1.9,231105826,a64bb2cf-b346-07e3-32f4-cc5f4d4775b1
11795,2019-10-01 05:56:35 UTC,view,5770051,1.48758E+18,,kapous,2.81,539333557,ad580d9c-02a6-4caf-bd9a-98a4395343db
11796,2019-10-01 05:56:35 UTC,view,5886064,1.48758E+18,,,15.71,335264707,3a383295-5417-42c7-9015-9cb05415f833
11797,2019-10-01 05:56:37 UTC,cart,5855282,2.19509E+18,,severina,1.73,553052134,3aa63624-dac0-442c-97b6-fe9b28b9d4a2
11798,2019-10-01 05:56:37 UTC,view,5799891,1.48758E+18,,,19.03,504986770,2776c3c2-6bbc-463a-bd42-8c0e6bb7703d
11799,2019-10-01 05:56:38 UTC,remove_from_cart,4958,1.48758E+18,,runail,1.19,539674253,f890a961-dd1e-4904-82fa-4a9b06053beb
11800,2019-10-01 05:56:38 UTC,view,5570246,1.48758E+18,,,5.56,548036530,9cde531b-0251-4cbf-9219-4f8a2eba438d
11801,2019-10-01 05:56:38 UTC,view,5858220,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11802,2019-10-01 05:56:38 UTC,view,39918,1.48758E+18,,,2.86,554057689,b976ceca-b91d-42fe-b731-18f33136e029
11803,2019-10-01 05:56:38 UTC,cart,5884356,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11804,2019-10-01 05:56:39 UTC,view,5841328,1.48758E+18,,,3.02,412810729,ddd49587-a0a7-4ec0-a33f-44594792008d
11805,2019-10-01 05:56:40 UTC,cart,5847754,1.92405E+18,,oniq,7.94,415770511,139ceca4-a9f0-43a2-a6a2-4733a3294d26
11806,2019-10-01 05:56:41 UTC,view,5858220,1.48758E+18,,,5.56,256301592,d1168ccd-2aaa-f5ee-fad5-6327a76f39f1
11807,2019-10-01 05:56:42 UTC,view,5631996,1.48758E+18,,,6.35,542353369,a21275a3-406f-48d2-9242-e551fa1e3142
11808,2019-10-01 05:56:42 UTC,view,5884349,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11809,2019-10-01 05:56:43 UTC,cart,5847642,1.92405E+18,,oniq,7.94,415770511,139ceca4-a9f0-43a2-a6a2-4733a3294d26
11810,2019-10-01 05:56:45 UTC,view,5837126,1.48758E+18,,,3.81,486637085,205bec28-f4a8-4c83-a239-ad4061d9ec1e
11811,2019-10-01 05:56:46 UTC,cart,5801772,1.48758E+18,,masura,1.73,555501532,516e1d20-55ce-4040-ac83-860a9828ba90
11812,2019-10-01 05:56:46 UTC,view,5816170,1.60294E+18,,grattol,5.24,443126515,228e81b0-2a5c-4a09-88fe-c8ff3397c9bd
